George Adam,Scottish National Party MSP,TRUE,"Paisley's MSP & SNP Chief Whip. Married to Stacey, Dad to Jessica & James, Papa to the adorable Daisy and JJ! Proud Paisley Buddie add St Mirren FC & that's me!"
Clare Adamson,Scottish National Party MSP,TRUE,"@theSNP
 MSP for Motherwell & Wishaw. Convenor of the Education & Skills Committee (
@SP_EduSkills
). Constituency Enquiries to clare.adamson.msp@parliament.scot"
Alasdair Allan,Scottish National Party MSP,TRUE,"SNP MSP for Na h-Eileanan an Iar. Tenor, Back Gaelic Choir. Tweeting on own behalf"
Tom Arthur,Scottish National Party MSP,FALSE,"Member of the Scottish Parliament for Renfrewshire South |
Email: tom.arthur.msp@parliament.scot"
Jackie Baillie,Labour MSP,TRUE,"MSP for Dumbarton, Deputy Leader of the Scottish Labour Party and Scottish Labour Finance Spokesperson. Constituents email jackie.baillie.msp@parliament.scot"
Claire Baker,Labour MSP,TRUE,"@scotparl
 MSP for Mid-Scotland and Fife & 
@ScottishLabour
's Shadow Cabinet Secretary for Culture, Tourism and External Affairs"
Jeremy Balfour,Conservative MSP,TRUE,"Jeremy Balfour, Scottish Conservative and Unionist MSP for the Lothian Region and Spokesperson for Welfare, Disability and Older People."
Michelle Ballantyne,Independent MSP,FALSE,"Independent MSP for the South of Scotland. Have an issue? 
 0131 348 5661 
 michelle.ballantyne.msp@parliament.scot"
Claudia Beamish,Labour MSP,TRUE,MSP South Scotland. Scottish Labour n Co-operative. Scottish Parliament Clydesdale candidate. Environment Climate Change and Land Reform Spokesperson
Colin Beattie,Scottish National Party MSP,TRUE,SNP MSP for Midlothian North and Musselburgh
Neil Bibby,Labour MSP,TRUE,"@ScottishLabour
 and Co-op MSP for West Scotland. neil.bibby.msp@parliament.scot"
Bill Bowman,Conservative MSP,FALSE,Shadow Minister for Public Finance and Migration // North East Scotland MSP // Convener of Delegated Powers & Law Reform Comm// Member of Public Audit Comm// CA
Sarah Boyack,Labour MSP,TRUE,Labour MSP for Lothian & Spokesperson on Local Government. Retweets due to interest not necessarily endorsement
Miles Briggs,Conservative MSP,TRUE,"Scottish Conservative and Unionist MSP for Lothian Region. 
@ScotTories
 Chief Whip. Constituent ? Email at: miles.briggs.msp@parliament.scot"
Keith Brown,Scottish National Party MSP,TRUE,"SNP MSP for the Clackmannanshire & Dunblane constituency, Depute Leader of the SNP. Retweets are not endorsements"
